,date,tic,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last,stopped,b_queue,s_queue,day,log_volume,change,daily_variance
0,2018-01-02,بترانس,495.06,496.0,489.0,492.95,99180.0,534064126.0,84.0,493.0,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13961012.0,494.05,False,False,False,3,17.705099409064175,-0.00428035297697538,0.014200223146363728
0,2018-01-02,بسويچ,2282.19,2282.0,2282.0,2176.95,241.0,1985840.0,1.0,2177.0,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13961012.0,2282.19,False,True,False,3,13.170477027075137,-0.04834286501757057,0.0
0,2018-01-02,بموتو,2779.94,2785.0,2625.0,2692.83,45828.0,160702534.0,27.0,2696.0,MOTJ,Motogen-a,موتوژن‌-ت,13961012.0,2674.49,False,False,False,3,18.630998501207962,-0.03234886717691059,0.05941704452193417
0,2018-01-02,پتاير,79.09,79.0,76.0,76.28,974099.0,2941445080.0,224.0,80.0,TAIR,Iran Tire-a,ايران‌_تاير-ت,13961012.0,75.9,False,False,False,3,18.123679000902094,-0.036837965390666,0.03932878867330886
0,2018-01-02,پلاسك,824.77,849.0,805.0,814.83,2846008.0,2333182107.0,304.0,829.0,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13961012.0,804.89,False,False,False,3,21.564407371116843,-0.012198863566633458,0.05399899365511824
1,2018-01-03,بترانس,494.05,496.0,488.0,493.04,151988.0,818518864.0,96.0,493.0,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13961013.0,493.13,False,False,False,4,18.132147155997473,-0.0020485153334414874,0.01622586402725945
1,2018-01-03,بسويچ,2135.68,2136.0,2135.0,2175.56,3070.0,23670700.0,3.0,2177.0,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13961013.0,2135.4,False,False,False,4,15.714474222228358,0.01833091250068953,0.00045965176782069905
1,2018-01-03,بموتو,2666.85,2774.0,2667.0,2695.89,27181.0,96871570.0,17.0,2693.0,MOTJ,Motogen-a,موتوژن‌-ت,13961013.0,2697.41,False,False,False,4,18.109757148799844,0.010771952861578168,0.039690046700718504
1,2018-01-03,پتاير,72.47,74.0,72.0,72.59,1707154.0,4907035077.0,293.0,76.0,TAIR,Iran Tire-a,ايران‌_تاير-ت,13961013.0,73.17,False,False,False,4,18.63516538575858,0.001653120264499305,0.027552004408320705
1,2018-01-03,پلاسك,811.85,815.0,774.0,785.02,5854907.0,4627915414.0,584.0,815.0,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13961013.0,799.93,False,False,False,4,22.24849986619272,-0.0341774731853966,0.05222796871417289
2,2018-01-06,بترانس,495.06,495.0,468.0,492.4,212534.0,1132672719.0,136.0,493.0,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13961016.0,493.22,False,False,False,0,18.466148648858272,-0.005402112103980555,0.054833468724614136
2,2018-01-06,بسويچ,2135.68,2136.0,2135.0,2175.56,3070.0,23670700.0,3.0,2177.0,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13961013.0,2135.4,True,False,False,0,15.714474222228358,0.01833091250068953,0.00045965176782069905
2,2018-01-06,بموتو,2747.85,2830.0,2748.0,2702.0,20303.0,73927112.0,18.0,2696.0,MOTJ,Motogen-a,موتوژن‌-ت,13961016.0,2789.87,False,False,False,0,17.820271455882384,-0.01696891191709841,0.030347890451517395
2,2018-01-06,پتاير,75.27,76.0,73.0,75.7,492895.0,1477440877.0,143.0,73.0,TAIR,Iran Tire-a,ايران‌_تاير-ت,13961016.0,76.21,False,False,False,0,17.434829609039976,0.005680317040951213,0.03963011889035667
2,2018-01-06,پلاسك,794.96,818.0,787.0,807.88,2401066.0,1950991528.0,254.0,785.0,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13961016.0,796.95,False,False,False,0,21.385836896012215,0.01599247412982121,0.03837203545080953
3,2018-01-07,بترانس,493.22,499.0,491.0,498.54,6156249.0,33474862727.0,169.0,492.0,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13961017.0,493.13,False,False,False,1,21.84466204837092,0.01067115978657679,0.016046856821920006
3,2018-01-07,بسويچ,2188.03,2195.0,2188.0,2175.56,350.0,2768600.0,3.0,2176.0,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13961017.0,2194.67,False,False,False,1,13.542974536130574,-0.005731857544724234,0.0032175623747448933
3,2018-01-07,بموتو,2759.31,2827.0,2759.0,2707.35,13864.0,51014910.0,15.0,2702.0,MOTJ,Motogen-a,موتوژن‌-ت,13961017.0,2798.28,False,False,False,1,17.44077640707381,-0.01919219901379579,0.025116811642380926
3,2018-01-07,پتاير,77.8,79.0,76.0,79.26,1042171.0,3270766272.0,217.0,76.0,TAIR,Iran Tire-a,ايران‌_تاير-ت,13961017.0,76.96,False,False,False,1,18.229550183079184,0.018420388594499217,0.037850113550340646
3,2018-01-07,پلاسك,805.89,848.0,806.0,837.69,2654134.0,2238180026.0,309.0,808.0,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13961017.0,847.62,False,False,False,1,21.522277086067138,0.03796153708412428,0.0501378791677112
4,2018-01-08,بترانس,495.06,495.0,475.0,496.16,230493.0,1213730229.0,120.0,499.0,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13961018.0,492.31,False,False,False,2,18.554874227546282,0.002217026765559543,0.04030957755562722
4,2018-01-08,بسويچ,2171.69,2172.0,2138.0,2168.08,33522.0,260574723.0,18.0,2176.0,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13961018.0,2138.17,False,False,False,2,18.101554480934944,-0.0016650677096786684,0.015682078152097708
4,2018-01-08,بموتو,2834.96,2843.0,2804.0,2725.69,40749.0,150984224.0,29.0,2707.0,MOTJ,Motogen-a,موتوژن‌-ت,13961018.0,2842.6,False,False,False,2,18.52566346454462,-0.04008893160997765,0.014308303585514126
4,2018-01-08,پتاير,77.77,80.0,76.0,78.53,265649.0,825934413.0,124.0,79.0,TAIR,Iran Tire-a,ايران‌_تاير-ت,13961018.0,78.3,False,False,False,2,16.853411884907196,0.009677830128613334,0.050935948045332996
4,2018-01-08,پلاسك,861.54,862.0,833.0,846.63,1008311.0,858629861.0,152.0,838.0,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13961018.0,838.68,False,False,False,2,20.56505097509343,-0.017610998901527192,0.03425345192114619
5,2018-01-09,بترانس,494.97,496.0,491.0,495.79,502734.0,2714376166.0,95.0,496.0,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13961019.0,494.6,False,False,False,3,19.333968932140298,0.0016539260574033223,0.010084914984166683
5,2018-01-09,بسويچ,2132.63,2133.0,2127.0,2167.25,1837.0,14129346.0,3.0,2168.0,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13961019.0,2126.54,False,False,False,3,15.197103446963876,0.015974160802860717,0.0027684854077748297
5,2018-01-09,بموتو,2861.7,2862.0,2827.0,2757.02,72168.0,268694582.0,30.0,2726.0,MOTJ,Motogen-a,موتوژن‌-ت,13961019.0,2853.3,False,False,False,3,19.108657678595836,-0.037968531240252096,0.012694866196110294
5,2018-01-09,پتاير,76.79,79.0,76.0,76.31,230137.0,695256664.0,98.0,79.0,TAIR,Iran Tire-a,ايران‌_تاير-ت,13961019.0,75.52,False,False,False,3,16.681234054050446,-0.006290132354868352,0.03931332721792687
5,2018-01-09,پلاسك,831.72,835.0,808.0,818.81,1715601.0,1413401071.0,248.0,847.0,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13961019.0,818.81,False,False,False,3,21.06312608121833,-0.01576678350288844,0.032974682771338894
6,2018-01-10,بترانس,495.06,496.0,491.0,495.52,202898.0,1093499009.0,68.0,496.0,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13961020.0,495.06,False,False,False,4,18.426066384917767,0.0009283177268323772,0.010090410074265418
6,2018-01-10,بسويچ,2174.18,2174.0,2174.0,2167.25,200.0,1570000.0,1.0,2167.0,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13961020.0,2174.18,False,True,False,4,12.979531728296786,-0.003197600645979853,0.0
6,2018-01-10,بموتو,2796.75,2881.0,2781.0,2762.37,27606.0,101590340.0,12.0,2757.0,MOTJ,Motogen-a,موتوژن‌-ت,13961020.0,2876.99,False,False,False,4,18.1496327052787,-0.012445834555110325,0.03620079858961689
6,2018-01-10,پتاير,75.78,76.0,73.0,73.86,364442.0,1065488096.0,96.0,76.0,TAIR,Iran Tire-a,ايران‌_تاير-ت,13961020.0,75.2,False,False,False,4,17.108294105108957,-0.02599512591389117,0.04061738424045491
6,2018-01-10,پلاسك,805.89,833.0,806.0,819.8,1327728.0,1095940418.0,172.0,819.0,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13961020.0,813.84,False,False,False,4,20.808040176833313,0.016967553061722332,0.032934862161502806
7,2018-01-13,بترانس,495.97,499.0,491.0,495.52,335190.0,1812282358.0,89.0,496.0,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13961023.0,495.06,False,False,False,0,18.928060530434387,-0.0009081369066839794,0.01614465611882467
7,2018-01-13,بسويچ,2132.63,2133.0,2080.0,2080.29,353423.0,2654430480.0,35.0,2167.0,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13961023.0,2080.01,False,False,False,0,20.415683504863768,-0.025159953660307047,0.025477217118767097
7,2018-01-13,بموتو,2789.11,2870.0,2789.0,2763.89,17318.0,63268095.0,11.0,2762.0,MOTJ,Motogen-a,موتوژن‌-ت,13961023.0,2789.11,False,False,False,0,17.68389608870829,-0.009124820452333579,0.029306520881800652
7,2018-01-13,پتاير,75.8,77.0,74.0,75.12,160194.0,476893503.0,55.0,74.0,TAIR,Iran Tire-a,ايران‌_تاير-ت,13961023.0,75.78,False,False,False,0,16.303227694631495,-0.009052183173588826,0.039936102236421724
7,2018-01-13,پلاسك,842.66,849.0,835.0,841.66,1280048.0,1084533898.0,146.0,820.0,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13961023.0,835.7,False,False,False,0,20.797784267410595,-0.0011881282227978044,0.01663379511916926
8,2018-01-14,بترانس,494.97,495.0,491.0,495.42,71751.0,386507870.0,46.0,496.0,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13961024.0,494.14,False,False,False,1,17.386362958464368,0.0009083202131524537,0.008073957450244237
8,2018-01-14,بسويچ,2184.15,2184.0,2160.0,2087.49,7241.0,56959680.0,12.0,2080.0,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13961024.0,2184.15,False,False,False,1,16.531232263683194,-0.04630441343431601,0.011497061063765576
8,2018-01-14,بموتو,2789.11,2808.0,2789.0,2767.71,36452.0,133148602.0,15.0,2764.0,MOTJ,Motogen-a,موتوژن‌-ت,13961024.0,2789.87,False,False,False,1,18.42952714807882,-0.007732023947595698,0.006864881074968114
8,2018-01-14,پتاير,75.3,76.0,73.0,74.08,351496.0,1030771848.0,119.0,75.0,TAIR,Iran Tire-a,ايران‌_تاير-ت,13961024.0,74.92,False,False,False,1,17.075099200705175,-0.016468682505399554,0.04049676025917927
8,2018-01-14,پلاسك,844.64,845.0,826.0,831.72,1263767.0,1058010007.0,162.0,842.0,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13961024.0,834.71,False,False,False,1,20.77310334697193,-0.01553407396720045,0.022844226422353675
9,2018-01-15,بترانس,494.97,497.0,486.0,494.87,360665.0,1940256048.0,119.0,495.0,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13961025.0,485.61,False,False,False,2,18.999999930451438,-0.00020207327176838914,0.022228059894517753
9,2018-01-15,بسويچ,2191.63,2192.0,2160.0,2124.88,44920.0,352097024.0,17.0,2087.0,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13961025.0,2191.63,False,False,False,2,18.374109018028136,-0.03141353864688829,0.015059673958058807
9,2018-01-15,بموتو,2786.05,2827.0,2786.0,2773.83,32935.0,121403955.0,15.0,2768.0,MOTJ,Motogen-a,موتوژن‌-ت,13961025.0,2791.4,False,False,False,2,18.33027551672632,-0.004405461041231891,0.014781006766817002
9,2018-01-15,پتاير,76.33,76.0,73.0,74.99,661379.0,1963691798.0,124.0,74.0,TAIR,Iran Tire-a,ايران‌_تاير-ت,13961025.0,75.78,False,False,False,2,17.71943709950749,-0.017869049206560923,0.04000533404453927
9,2018-01-15,پلاسك,835.7,836.0,805.0,813.84,2010539.0,1647186257.0,259.0,832.0,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13961025.0,809.86,False,False,False,2,21.21567718977648,-0.026860316524132524,0.038091025262950946
10,2018-01-16,بترانس,494.69,495.0,485.0,493.96,351743.0,1884303530.0,133.0,495.0,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13961026.0,490.47,False,False,False,3,18.97311061653073,-0.0014778524576889187,0.020244554214916187
10,2018-01-16,بسويچ,2174.45,2174.0,2160.0,2125.71,1672.0,13108983.0,3.0,2125.0,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13961026.0,2160.33,False,False,False,3,15.083636936845352,-0.02292880966829896,0.006586034783672279
10,2018-01-16,بموتو,2796.75,2827.0,2751.0,2773.83,34615.0,125556070.0,29.0,2774.0,MOTJ,Motogen-a,موتوژن‌-ت,13961026.0,2760.07,False,False,False,3,18.38002670876365,-0.008262943295010896,0.02739893937263639
10,2018-01-16,پتاير,73.76,76.0,74.0,74.26,193083.0,567740827.0,74.0,75.0,TAIR,Iran Tire-a,ايران‌_تاير-ت,13961026.0,74.51,False,False,False,3,16.47844787600365,0.006733099919202801,0.026932399676811204
10,2018-01-16,پلاسك,814.83,815.0,802.0,805.89,1809225.0,1466379827.0,235.0,814.0,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13961026.0,806.88,False,False,False,3,21.100356391518645,-0.01109332539180292,0.0161312337912122
11,2018-01-17,بترانس,494.14,495.0,490.0,493.86,207356.0,1115179238.0,101.0,494.0,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13961027.0,492.31,False,False,False,4,18.444444478049142,-0.0005669622970071938,0.010124326732272303
11,2018-01-17,بسويچ,2160.33,2163.0,2160.0,2127.65,5700.0,44478700.0,6.0,2126.0,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13961027.0,2163.38,False,False,False,4,16.310994817072686,-0.015359669118510956,0.0014100063450285525
11,2018-01-17,بموتو,2750.9,2785.0,2693.0,2770.01,54345.0,195908743.0,24.0,2774.0,MOTJ,Motogen-a,موتوژن‌-ت,13961027.0,2785.29,False,False,False,4,18.82971410128046,0.006898892061761555,0.03321287648781051
11,2018-01-17,پتاير,74.16,76.0,74.0,74.03,209917.0,615172728.0,82.0,74.0,TAIR,Iran Tire-a,ايران‌_تاير-ت,13961027.0,74.01,False,False,False,4,16.55893790993221,-0.0017560448466837153,0.027016074564365798
11,2018-01-17,پلاسك,802.91,825.0,803.0,813.84,1513901.0,1240478894.0,177.0,806.0,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13961027.0,822.78,False,False,False,4,20.931964107630854,0.013430158262066332,0.027032340509190993
12,2018-01-20,بترانس,492.31,492.0,479.0,493.5,96151.0,511660766.0,54.0,494.0,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13961030.0,492.31,False,False,False,0,17.675198010252394,0.002411347517730492,0.02634245187436677
12,2018-01-20,بسويچ,2188.3,2216.0,2188.0,2128.76,1230.0,9802530.0,8.0,2128.0,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13961030.0,2188.03,False,False,False,0,14.778064377924812,-0.02796933426032054,0.013153197166425523
12,2018-01-20,بموتو,2766.95,2789.0,2632.0,2744.03,150298.0,535670350.0,59.0,2770.0,MOTJ,Motogen-a,موتوژن‌-ت,13961030.0,2750.14,False,False,False,0,19.837558190663255,-0.008352678359930327,0.05721511791051847
12,2018-01-20,پتاير,74.51,78.0,74.0,76.71,938328.0,2849951342.0,232.0,74.0,TAIR,Iran Tire-a,ايران‌_تاير-ت,13961030.0,77.72,False,False,False,0,18.091886925006282,0.028679442054490793,0.05214444009907444
12,2018-01-20,پلاسك,824.77,835.0,795.0,814.83,1705488.0,1398187478.0,239.0,814.0,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13961030.0,807.88,False,False,False,0,21.052341347282383,-0.012198863566633458,0.04908999423192568
13,2018-01-21,بترانس,494.14,495.0,490.0,493.5,229565.0,1235438402.0,73.0,493.0,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13961101.0,490.47,False,False,False,1,18.545464351656687,-0.0012968591691995672,0.010131712259371834
13,2018-01-21,بسويچ,2215.45,2216.0,2160.0,2150.08,26559.0,211839010.0,18.0,2129.0,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13961101.0,2215.45,False,False,False,1,17.860384282010944,-0.03040351986902808,0.02604554249144218
13,2018-01-21,بموتو,2699.71,2768.0,2674.0,2739.44,25448.0,89711560.0,21.0,2744.0,MOTJ,Motogen-a,موتوژن‌-ت,13961101.0,2747.08,False,False,False,1,18.059901232360705,0.014502964109453034,0.034313582337996085
13,2018-01-21,پتاير,77.95,78.0,74.0,75.55,428758.0,1282221771.0,96.0,77.0,TAIR,Iran Tire-a,ايران‌_تاير-ت,13961101.0,74.03,False,False,False,1,17.29344262489909,-0.0317670416942423,0.05294506949040371
13,2018-01-21,پلاسك,796.95,798.0,774.0,780.05,5509630.0,4323084777.0,505.0,815.0,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13961101.0,789.99,False,False,False,1,22.18136604843244,-0.02166527786680353,0.030767258509069934
14,2018-01-22,بترانس,490.47,490.0,488.0,493.41,55268.0,295369177.0,38.0,493.0,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13961102.0,489.56,False,False,False,2,17.12128982959785,0.005958533471149749,0.004053424130033846
14,2018-01-22,بسويچ,2215.72,2216.0,2188.0,2154.51,7717.0,61545800.0,9.0,2150.0,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13961102.0,2215.72,False,False,False,2,16.626499564950855,-0.028410172150511986,0.012995994448853798
14,2018-01-22,بموتو,2697.41,2751.0,2697.0,2740.21,27292.0,98179760.0,6.0,2739.0,MOTJ,Motogen-a,موتوژن‌-ت,13961102.0,2749.38,False,False,False,2,18.130138736716322,0.015619240861101953,0.019706518843446305
14,2018-01-22,پتاير,74.01,76.0,74.0,74.19,148920.0,436220834.0,67.0,76.0,TAIR,Iran Tire-a,ايران‌_تاير-ت,13961102.0,73.76,False,False,False,2,16.217793898188088,0.0024262029923169245,0.02695781102574471
14,2018-01-22,پلاسك,782.04,808.0,782.0,793.96,1124648.0,898258510.0,162.0,780.0,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13961102.0,794.96,False,False,False,2,20.610013737916205,0.015013350798528984,0.03274724167464356
15,2018-01-23,بترانس,490.47,496.0,490.0,495.61,2546855.0,13767924019.0,182.0,493.0,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13961103.0,494.05,False,False,False,3,20.956159149733768,0.010371057888258886,0.012106293254776941
15,2018-01-23,بسويچ,2204.64,2230.0,2205.0,2161.44,11182.0,89478150.0,10.0,2155.0,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13961103.0,2215.72,False,False,False,3,17.00059056680796,-0.019986675549633494,0.01156636316529721
15,2018-01-23,بموتو,2747.85,2748.0,2748.0,2740.21,2000.0,7192000.0,1.0,2740.0,MOTJ,Motogen-a,موتوژن‌-ت,13961103.0,2747.85,False,True,False,3,15.516692298323091,-0.0027881074808134678,0.0
15,2018-01-23,پتاير,74.01,76.0,74.0,74.11,285267.0,836912940.0,70.0,74.0,TAIR,Iran Tire-a,ايران‌_تاير-ت,13961103.0,74.19,False,False,False,3,16.86673133875664,0.0013493455673997345,0.02698691134799622
15,2018-01-23,پلاسك,804.89,816.0,796.0,806.88,1422311.0,1155499728.0,174.0,794.0,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13961103.0,801.91,False,False,False,3,20.860968529808876,0.0024662899068015184,0.024786833234186
16,2018-01-24,بترانس,495.7,496.0,485.0,495.15,214808.0,1153932684.0,103.0,496.0,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13961104.0,494.14,False,False,False,4,18.48236063183848,-0.00111077451277393,0.02221549025547814
16,2018-01-24,بسويچ,2212.95,2216.0,2213.0,2162.82,2530.0,20220000.0,6.0,2161.0,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13961104.0,2215.72,False,False,False,4,15.515142786458714,-0.023178073071267905,0.0013870779815241211
16,2018-01-24,بموتو,2666.85,2713.0,2637.0,2703.53,136889.0,477777240.0,45.0,2740.0,MOTJ,Motogen-a,موتوژن‌-ت,13961104.0,2712.7,False,False,False,4,19.729239262914323,0.013567447004472037,0.02811139510195929
16,2018-01-24,پتاير,76.38,76.0,71.0,72.34,475962.0,1363364486.0,143.0,74.0,TAIR,Iran Tire-a,ايران‌_تاير-ت,13961104.0,73.1,False,False,False,4,17.354470524617998,-0.05584738733757246,0.06911805363560962
16,2018-01-24,پلاسك,814.83,815.0,796.0,801.91,1554919.0,1254305294.0,204.0,807.0,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13961104.0,798.93,False,False,False,4,20.943930394324653,-0.016111533713259685,0.02369343193126411
17,2018-01-27,بترانس,495.42,495.0,493.0,495.15,267528.0,1444713342.0,30.0,495.0,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13961107.0,493.68,False,False,False,0,18.70184025970488,-0.0005452893062709051,0.004039180046450571
17,2018-01-27,بسويچ,2215.72,2243.0,2163.0,2177.5,23042.0,185273204.0,17.0,2163.0,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13961107.0,2166.15,False,False,False,0,17.731006625324657,-0.017552238805970056,0.03673938002296211
17,2018-01-27,بموتو,2682.13,2682.0,2636.0,2682.9,128842.0,448359285.0,31.0,2704.0,MOTJ,Motogen-a,موتوژن‌-ت,13961107.0,2636.28,False,False,False,0,19.66099570447436,0.00028700287002869347,0.017145626001714563
17,2018-01-27,پتاير,73.2,75.0,71.0,72.64,138917.0,399911653.0,68.0,72.0,TAIR,Iran Tire-a,ايران‌_تاير-ت,13961107.0,72.87,False,False,False,0,16.127147645755187,-0.007709251101321617,0.05506607929515418
17,2018-01-27,پلاسك,794.96,810.0,785.0,804.89,1342620.0,1087178663.0,197.0,802.0,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13961107.0,803.9,False,False,False,0,20.800839108964293,0.012337089540185553,0.031060144864515648
18,2018-01-28,بترانس,494.14,495.0,486.0,494.87,327323.0,1763768646.0,123.0,495.0,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13961108.0,492.03,False,False,False,1,18.902997831755847,0.001475134883908942,0.018186594459150888
18,2018-01-28,بسويچ,2215.72,2243.0,2163.0,2177.5,23042.0,185273204.0,17.0,2163.0,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13961107.0,2166.15,True,False,False,1,17.731006625324657,-0.017552238805970056,0.03673938002296211
18,2018-01-28,بموتو,2618.71,2659.0,2617.0,2666.08,95837.0,330560468.0,42.0,2683.0,MOTJ,Motogen-a,موتوژن‌-ت,13961108.0,2621.0,False,False,False,1,19.35876861847938,0.01776765888495465,0.015753465762467743
18,2018-01-28,پتاير,73.25,73.0,71.0,71.58,370848.0,1051165151.0,98.0,73.0,TAIR,Iran Tire-a,ايران‌_تاير-ت,13961108.0,71.23,False,False,False,1,17.094363259471997,-0.02333053925677566,0.02794076557697681
